2024-02-29 00:02:08.070 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2024-02-29 11:08:10.046 [main] INFO  com.mengchu.CompetitionCaseApplicationTests - Starting CompetitionCaseApplicationTests using Java 21.0.1 with PID 8436 (started by 17317 in D:\java-basic\competition-case)
2024-02-29 11:08:10.049 [main] INFO  com.mengchu.CompetitionCaseApplicationTests - The following 1 profile is active: "dev"
2024-02-29 11:08:12.540 [main] INFO  com.mengchu.CompetitionCaseApplicationTests - Started CompetitionCaseApplicationTests in 3.008 seconds (process running for 4.202)
2024-02-29 11:08:13.585 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2024-02-29 11:09:08.201 [main] INFO  com.mengchu.CompetitionCaseApplication - Starting CompetitionCaseApplication using Java 21.0.1 with PID 27476 (D:\java-basic\competition-case\target\classes started by 17317 in D:\java-basic\competition-case)
2024-02-29 11:09:08.203 [main] INFO  com.mengchu.CompetitionCaseApplication - The following 1 profile is active: "dev"
2024-02-29 11:09:09.315 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-02-29 11:09:09.349 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-29 11:09:09.352 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-02-29 11:09:09.352 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-02-29 11:09:09.477 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-29 11:09:09.478 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1243 ms
2024-02-29 11:09:10.098 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-02-29 11:09:10.127 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-02-29 11:09:10.134 [main] INFO  com.mengchu.CompetitionCaseApplication - Started CompetitionCaseApplication in 2.304 seconds (process running for 3.248)
2024-02-29 11:09:15.041 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
